Before cycle    0:   unstarted  0  unstarted  0  unstarted  0  unstarted  0  unstarted  0.
Before cycle    1:     running  2      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle    2:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle    3:     blocked  2    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle    4:     blocked  1    blocked  2    running 14  unstarted  0  unstarted  0.
Before cycle    5:     running  2    blocked  1      ready 13  unstarted  0  unstarted  0.
Before cycle    6:     running  1      ready  0      ready 13  unstarted  0  unstarted  0.
Before cycle    7:     blocked  2    running  4      ready 13  unstarted  0  unstarted  0.
Before cycle    8:     blocked  1    running  3      ready 13  unstarted  0  unstarted  0.
Before cycle    9:     running  1      ready  2      ready 13  unstarted  0  unstarted  0.
Before cycle   10:     blocked  2    running  2      ready 13  unstarted  0  unstarted  0.
Before cycle   11:     blocked  1    running  1      ready 13  unstarted  0  unstarted  0.
Before cycle   12:     running  2    blocked  3      ready 13  unstarted  0  unstarted  0.
Before cycle   13:     running  1    blocked  2      ready 13  unstarted  0  unstarted  0.
Before cycle   14:     blocked  3    blocked  1    running 13  unstarted  0  unstarted  0.
Before cycle   15:     blocked  2    running  8      ready 12  unstarted  0  unstarted  0.
Before cycle   16:     blocked  1    running  7      ready 12  unstarted  0  unstarted  0.
Before cycle   17:     running  3      ready  6      ready 12  unstarted  0  unstarted  0.
Before cycle   18:     running  2      ready  6      ready 12  unstarted  0  unstarted  0.
Before cycle   19:     running  1      ready  6      ready 12  unstarted  0  unstarted  0.
Before cycle   20:     blocked  2    running  6      ready 12  unstarted  0  unstarted  0.
Before cycle   21:     blocked  1    running  5      ready 12  unstarted  0  unstarted  0.
Before cycle   22:     running  1      ready  4      ready 12  unstarted  0  unstarted  0.
Before cycle   23:     blocked  1    running  4      ready 12  unstarted  0  unstarted  0.
Before cycle   24:     running  2      ready  3      ready 12  unstarted  0  unstarted  0.
Before cycle   25:     running  1      ready  3      ready 12  unstarted  0  unstarted  0.
Before cycle   26:     blocked  2    running  3      ready 12  unstarted  0  unstarted  0.
Before cycle   27:     blocked  1    running  2      ready 12  unstarted  0  unstarted  0.
Before cycle   28:     running  3      ready  1      ready 12  unstarted  0  unstarted  0.
Before cycle   29:     running  2      ready  1      ready 12  unstarted  0  unstarted  0.
Before cycle   30:     running  1      ready  1      ready 12  unstarted  0  unstarted  0.
Before cycle   31:     blocked  3    running  1      ready 12  unstarted  0  unstarted  0.
Before cycle   32:     blocked  2    blocked  1    running 12  unstarted  0  unstarted  0.
Before cycle   33:     blocked  1    running  7      ready 11  unstarted  0  unstarted  0.
Before cycle   34:     running  3      ready  6      ready 11  unstarted  0  unstarted  0.
Before cycle   35:     running  2      ready  6      ready 11  unstarted  0  unstarted  0.
Before cycle   36:     running  1      ready  6      ready 11  unstarted  0  unstarted  0.
Before cycle   37:     blocked  3    running  6      ready 11  unstarted  0  unstarted  0.
Before cycle   38:     blocked  2    running  5      ready 11  unstarted  0  unstarted  0.
Before cycle   39:     blocked  1    running  4      ready 11  unstarted  0  unstarted  0.
Before cycle   40:     running  3      ready  3      ready 11  unstarted  0  unstarted  0.
Before cycle   41:     running  2      ready  3      ready 11  unstarted  0  unstarted  0.
Before cycle   42:     running  1      ready  3      ready 11  unstarted  0  unstarted  0.
Before cycle   43:     blocked  2    running  3      ready 11  unstarted  0  unstarted  0.
Before cycle   44:     blocked  1    running  2      ready 11  unstarted  0  unstarted  0.
Before cycle   45:     running  2      ready  1      ready 11  unstarted  0  unstarted  0.
Before cycle   46:     running  1      ready  1      ready 11  unstarted  0  unstarted  0.
Before cycle   47:     blocked  2    running  1      ready 11  unstarted  0  unstarted  0.
Before cycle   48:     blocked  1    blocked  3    running 11  unstarted  0  unstarted  0.
Before cycle   49:     running  1    blocked  2      ready 10  unstarted  0  unstarted  0.
Before cycle   50:     blocked  1    blocked  1    running 10  unstarted  0  unstarted  0.
Before cycle   51:     running  1      ready  0      ready  9  unstarted  0  unstarted  0.
Before cycle   52:     blocked  3    running  4      ready  9  unstarted  0  unstarted  0.
Before cycle   53:     blocked  2    running  3      ready  9  unstarted  0  unstarted  0.
Before cycle   54:     blocked  1    running  2      ready  9  unstarted  0  unstarted  0.
Before cycle   55:     running  2      ready  1      ready  9  unstarted  0  unstarted  0.
Before cycle   56:     running  1      ready  1      ready  9  unstarted  0  unstarted  0.
Before cycle   57:     blocked  2    running  1      ready  9  unstarted  0  unstarted  0.
Before cycle   58:     blocked  1    blocked  2    running  9  unstarted  0  unstarted  0.
Before cycle   59:     running  2    blocked  1      ready  8  unstarted  0  unstarted  0.
