Before cycle    0:   unstarted  0  unstarted  0  unstarted  0  unstarted  0  unstarted  0.
Before cycle    1:     running  2      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle    2:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle    3:     blocked  2    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle    4:     blocked  1    blocked  2    running  2  unstarted  0  unstarted  0.
Before cycle    5:       ready  0    blocked  1    running  1  unstarted  0  unstarted  0.
Before cycle    6:     running  2      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle    7:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle    8:     blocked  2    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle    9:     blocked  1    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle   10:       ready  0      ready  0    running  2  unstarted  0  unstarted  0.
Before cycle   11:       ready  0      ready  0    running  1  unstarted  0  unstarted  0.
Before cycle   12:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   13:     blocked  2    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle   14:     blocked  1    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle   15:       ready  0    blocked  3    running  2  unstarted  0  unstarted  0.
Before cycle   16:       ready  0    blocked  2    running  1  unstarted  0  unstarted  0.
Before cycle   17:     running  2    blocked  1      ready  0  unstarted  0  unstarted  0.
Before cycle   18:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   19:     blocked  3      ready  0    running  2  unstarted  0  unstarted  0.
Before cycle   20:     blocked  2      ready  0    running  1  unstarted  0  unstarted  0.
Before cycle   21:     blocked  1    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle   22:       ready  0    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle   23:       ready  0      ready  0    running  2  unstarted  0  unstarted  0.
Before cycle   24:       ready  0      ready  0    running  1  unstarted  0  unstarted  0.
Before cycle   25:     running  2      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   26:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   27:       ready  0    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle   28:       ready  0    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle   29:       ready  0      ready  0    running  2  unstarted  0  unstarted  0.
Before cycle   30:       ready  0      ready  0    running  1  unstarted  0  unstarted  0.
Before cycle   31:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   32:     blocked  2    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle   33:     blocked  1    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle   34:       ready  0      ready  0    running  2  unstarted  0  unstarted  0.
Before cycle   35:       ready  0      ready  0    running  1  unstarted  0  unstarted  0.
Before cycle   36:     running  1      ready  0    blocked  1  unstarted  0  unstarted  0.
Before cycle   37:     blocked  2    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle   38:     blocked  1    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle   39:       ready  0    blocked  2    running  2  unstarted  0  unstarted  0.
Before cycle   40:       ready  0    blocked  1    running  1  unstarted  0  unstarted  0.
Before cycle   41:     running  2      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   42:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   43:       ready  0    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle   44:       ready  0    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle   45:       ready  0      ready  0    running  2  unstarted  0  unstarted  0.
Before cycle   46:       ready  0      ready  0    running  1  unstarted  0  unstarted  0.
Before cycle   47:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   48:     blocked  1    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle   49:       ready  0    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle   50:       ready  0      ready  0    running  2  unstarted  0  unstarted  0.
Before cycle   51:       ready  0      ready  0    running  1  unstarted  0  unstarted  0.
Before cycle   52:     running  2      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   53:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   54:       ready  0    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle   55:       ready  0    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle   56:       ready  0      ready  0    running  2  unstarted  0  unstarted  0.
Before cycle   57:       ready  0      ready  0    running  1  unstarted  0  unstarted  0.
Before cycle   58:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   59:     blocked  3    running  1      ready  0  unstarted  0  unstarted  0.
